,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
13,13,0.0011866051723221879,-16988.692519702257,563.7702216495015,0.08927196155377326,-10.652684069688203,7.166619544513209,5.663710355062612,79.95101990203986,7173361.000000053,0.0011866051723221879,Malignant
14,14,0.0011205873164854107,-16986.300202817514,563.4416573374657,0.08774830690667616,-10.704836041101784,7.178658732686958,5.662867999757395,79.97721495442993,7173361.000000096,0.0011205873164854107,Malignant
15,15,0.0011500270536036025,-17394.340623324082,546.9880597694115,0.09158986697564041,-10.682403211631554,7.162430443586534,5.644187552894265,79.93086986173975,7173360.999999969,0.0011500270536036025,Malignant
16,16,0.21642666573983957,-50880.822183602926,145.5310286595525,0.518923504617072,-5.1167023010054065,4.393974848273006,3.28523307054485,79.99426498852999,7173360.999999986,0.21642666573983957,Malignant
17,17,0.0011285818474010064,-17791.72560508788,537.427980680563,0.08391715857481175,-10.653024078502463,7.141980886833483,5.632012275995145,79.9049848099696,7173360.999999998,0.0011285818474010064,Malignant
18,18,0.03236840675371578,-25356.10210276642,356.1524207604186,0.24811063258154864,-9.093004506081586,6.433012184597849,4.981179573719729,79.97364994729988,7173360.99999994,0.03236840675371578,Malignant
19,19,0.001362240352065348,-19258.701477963285,490.2339623728785,0.09685711027209463,-10.601265992055817,7.105962789175835,5.547459063932041,79.98868497736996,7173361.000000043,0.001362240352065348,Malignant
20,20,0.0012370927555691955,-19067.877660317885,497.7934636562435,0.09182722237323149,-10.609210539089064,7.107322364644362,5.5645852021097975,80.00852501705009,7173361.000000053,0.0012370927555691955,Malignant
21,21,0.0015687884127411477,-19725.156870739487,470.4987105903904,0.10340747752822244,-10.590998720629356,7.113695249519586,5.495685857921401,79.99534999070002,7173360.999999948,0.0015687884127411477,Malignant
22,22,0.0029568923663700706,-21951.592141974954,420.18398527187037,0.11714212446743981,-10.116917815313165,6.964500762904498,5.371559138388705,79.99984499969003,7173360.999999989,0.0029568923663700706,Malignant
23,23,0.05674851929656807,-34602.774298103344,234.4749923274414,0.3050038298338914,-7.282803907241239,5.780006401647562,4.306873895183084,79.98620497240991,7173361.0,0.05674851929656807,Malignant
24,24,0.0012998817285842187,-17114.707692256983,564.7745116629176,0.09107900278963023,-10.553473911701918,7.143571653890153,5.665977146128439,79.98403496806996,7173361.000000005,0.0012998817285842187,Malignant
25,25,0.16825690872942778,-48293.24367916813,155.22847045694084,0.4648104954468286,-5.3367659981191125,4.590114686152714,3.4523220056718693,79.99999999999997,7173360.999999958,0.16825690872942778,Malignant
26,26,0.0013322597049241032,-19306.830313713446,491.6287402879848,0.09196095770442189,-10.539668410976073,7.0860089000932955,5.5557108624099145,79.96295492590987,7173361.000000051,0.0013322597049241032,Malignant
27,27,0.0037554068875187293,-21258.02719593289,431.27851311378737,0.1300164167663611,-10.220691644339281,6.992208259691628,5.382445210728395,79.99503999007999,7173360.999999991,0.0037554068875187293,Malignant
28,28,0.0013641649424511921,-19394.633272952422,487.31120875751583,0.09268297838651839,-10.54134073543247,7.085739399712012,5.543998818900453,79.99968999938001,7173361.000000005,0.0013641649424511921,Malignant
29,29,0.0012599481448187875,-17386.13747103795,550.0467571519184,0.09182358386985087,-10.604969048759864,7.145912547272642,5.647672178197458,79.95675491350985,7173361.00000004,0.0012599481448187875,Malignant
30,30,0.0577387639348866,-34455.8691876616,238.70712079169837,0.3080423121460414,-7.35762525511481,5.79984770813021,4.324882138354901,80.01333002666007,7173360.999999998,0.0577387639348866,Malignant
31,31,0.060892565838738,-33574.06844523276,243.14007183411476,0.3168265721971975,-7.497736045825991,5.868234642992634,4.348959892451519,79.99565999132001,7173360.999999991,0.060892565838738,Malignant
32,32,0.013888181641780102,-26218.75810860549,330.88264520505743,0.192414755796757,-9.121431226206246,6.662467720297283,4.984196449846461,80.00573501147002,7173360.999999978,0.013888181641780102,Malignant
33,33,0.07791564756493669,-36991.21313061009,216.70678531294448,0.3482179393761133,-6.932076280969464,5.5879739027711,4.117701749648277,80.00217000434006,7173360.999999975,0.07791564756493669,Malignant
34,34,0.00605028963783746,-23287.760389714196,389.66111879275644,0.14949237299808116,-9.870601437535056,6.893874424250004,5.24401575733297,79.97178994357988,7173361.0000000205,0.00605028963783746,Malignant
35,35,0.0011972638161129787,-17558.08871439692,545.8533269286141,0.08675159651042348,-10.612990160257397,7.142156050660024,5.63963073745491,79.94714489428978,7173361.000000028,0.0011972638161129787,Malignant
36,36,0.001192485810110336,-18787.52257459687,506.1133648242248,0.084095583450717,-10.587647621331477,7.104730437668652,5.587745180718876,79.99472998946,7173360.999999943,0.001192485810110336,Malignant
37,37,0.001100815263022271,-17922.30714303343,532.1172695423696,0.08497359585392887,-10.674111066590065,7.147071848484042,5.623560293906028,80.01488002976009,7173361.000000064,0.001100815263022271,Malignant
38,38,0.06605000030420712,-34701.65281803827,231.705525705986,0.32698356965451736,-7.270226117132936,5.771486289999364,4.26037987884957,79.98837497674992,7173360.999999975,0.06605000030420712,Malignant
39,39,0.005961116544536053,-23276.784740412626,386.398612406934,0.1504298638515547,-9.86982030993618,6.912249069946474,5.235439437811783,79.98589497179003,7173361.000000002,0.005961116544536053,Malignant
40,40,0.01891600530858641,-26645.994093816633,323.0634226672385,0.21348363357205102,-8.989373253607301,6.588132472515751,4.911418081070141,80.00542501085003,7173360.999999963,0.01891600530858641,Malignant
41,41,0.002171021877906924,-20158.766127596606,458.64004657701196,0.11169119598545271,-10.44451519374472,7.066097488639121,5.468370069875903,79.95892491784987,7173361.000000028,0.002171021877906924,Malignant
42,42,0.01678352477514155,-28070.97775506739,317.6392648714988,0.20327694527191945,-8.793207141215639,6.501083914463236,4.870397609550884,80.00341000682002,7173361.000000004,0.01678352477514155,Malignant
43,43,0.0017469151000596747,-20066.999851309272,467.2984684604745,0.10159438694994642,-10.445246984724653,7.0606305826394395,5.4977768662855295,79.98914997829996,7173361.000000007,0.0017469151000596747,Malignant
44,44,0.0013779366981319112,-19794.146426014453,475.08120564167217,0.0920498715102147,-10.514314620609795,7.07898726332502,5.513209268740609,79.97535495070989,7173360.9999999795,0.0013779366981319112,Malignant
45,45,0.016531632994387646,-26787.70077362864,328.58850221327447,0.19968225716129348,-9.001258316800914,6.559542591488871,4.965808758433457,79.97860995721994,7173361.000000015,0.016531632994387646,Malignant
46,46,0.002647271252793086,-21708.878802371473,426.45560752681416,0.11601480004708294,-10.186037640108118,6.986927209543734,5.3804798927763136,79.99658999318002,7173360.999999973,0.002647271252793086,Malignant
47,47,0.001942198739162201,-19236.690612316586,487.52485867083453,0.10918957074942136,-10.420763407377944,7.0613527536764025,5.525765246975791,80.0322400644801,7173360.9999999795,0.001942198739162201,Malignant
