,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
33,33,0.0017126114672202774,-19716.36253949282,477.20984586801467,0.10143900992949934,-10.472685736678494,7.067280293444637,5.518882035523991,79.96202492404983,7173361.000000016,0.0017126114672202774,Normal
34,34,0.0011344484905706739,-17469.050153282777,549.6274094975497,0.08639147731400992,-10.660317490407202,7.151650641695256,5.652061778156533,79.93303986607971,7173361.000000017,0.0011344484905706739,Normal
35,35,0.0011586582495658655,-18093.764709231265,520.2653053498801,0.09042730337701364,-10.65471405191316,7.145663130788186,5.600452403181169,79.93288486576976,7173361.000000069,0.0011586582495658655,Normal
36,36,0.0014419955776640517,-18868.991876667875,499.8620187221155,0.09505079010604675,-10.505364373811494,7.088871531889148,5.562194761907555,79.92265484530971,7173361.000000013,0.0014419955776640517,Normal
37,37,0.0011507881836637663,-18045.64603105444,527.299820323802,0.09062035805512295,-10.689922178277365,7.14311533129485,5.612507747424859,79.95768491536982,7173361.0000000745,0.0011507881836637663,Normal
38,38,0.001068935146736307,-17867.238769031017,534.4359948298916,0.08797533655831326,-10.729128215191432,7.1581189533618215,5.627027482019773,79.98868497736994,7173361.00000006,0.001068935146736307,Normal
39,39,0.0011193104577061025,-17515.038874468002,545.2158253569405,0.0898884407785582,-10.703212225628837,7.159037554922265,5.638647942364772,79.9410998821998,7173361.000000061,0.0011193104577061025,Normal
40,40,0.0011276802906541581,-17380.09703812838,549.6999294134987,0.0858030879865687,-10.682628486282134,7.163938692949043,5.650402366166313,80.01813503627012,7173360.999999954,0.0011276802906541581,Normal
41,41,0.0012359321932707034,-18395.992870860624,515.2524301855598,0.08854369439831866,-10.594546551988469,7.113973576448499,5.591771268274842,79.90110980221962,7173361.000000005,0.0012359321932707034,Normal
42,42,0.0010999818925013034,-17702.056777634774,537.7094342681462,0.08688439215730837,-10.712449568245399,7.158693011492704,5.630356673680604,80.01844503689007,7173361.000000093,0.0010999818925013034,Normal
43,43,0.0024595447827473697,-19277.32984448023,482.2689718217181,0.11266188088846861,-10.368179533247837,7.042937361168732,5.510597038149897,80.00139500278998,7173361.000000056,0.0024595447827473697,Normal
44,44,0.001256351182509081,-17508.66660504918,549.89242738235,0.08352321794163477,-10.544763283186205,7.130525567578098,5.651231151411106,80.00480500961002,7173361.000000032,0.001256351182509081,Normal
45,45,0.001123903605609924,-17581.69767045813,542.6899867697061,0.08927230589155404,-10.694417264695112,7.159629765528553,5.634865368072942,79.98015996031991,7173361.000000004,0.001123903605609924,Normal
46,46,0.005551744433205434,-21515.243123916283,416.2116960445092,0.14824569924177683,-10.107463732054052,6.974260605217618,5.305686416839582,79.95427490854985,7173361.000000001,0.005551744433205434,Normal
47,47,0.002170144646569901,-20416.122743548156,452.34768262053115,0.1126092812563041,-10.42371025244481,7.061844205792876,5.453556098315449,79.93768987537976,7173360.999999995,0.002170144646569901,Normal
48,48,0.0011412619777933356,-17669.964430991233,541.9504928510136,0.0868287643688523,-10.664222762235317,7.149361731583276,5.641248747861902,79.96636493272985,7173360.99999999,0.0011412619777933356,Normal
49,49,0.0011511894327999902,-17571.594125801435,542.3047096230594,0.0879559250624319,-10.66633588495914,7.155357108625113,5.637551741787103,79.9820199640399,7173361.000000038,0.0011511894327999902,Normal
50,50,0.001208041399145145,-17715.268720962948,542.5144324806598,0.0823024079074636,-10.584393041185054,7.1269669853262885,5.645169615196925,79.93396986793978,7173361.000000045,0.001208041399145145,Normal
51,51,0.002613927152260603,-20363.659553764413,449.8090589150364,0.12122045505105383,-10.432459243827594,7.07216252201885,5.4261564201157855,79.95907991815984,7173360.999999987,0.002613927152260603,Normal
52,52,0.0011688343793328406,-17442.285231037975,543.1907327181881,0.09223022137237427,-10.701750802093775,7.16338520967789,5.6315077140915415,79.98883997767994,7173361.000000058,0.0011688343793328406,Normal
53,53,0.0018885341823166805,-19428.82373024356,477.05331956079004,0.11225805608160741,-10.62815961673977,7.123199955296127,5.490388379050784,80.03084506169012,7173361.0000000205,0.0018885341823166805,Normal
54,54,0.0012415735411017035,-18807.095310831755,499.9470270079484,0.09602022237096065,-10.66973050146319,7.131717551059731,5.5592620908002965,79.98093496186989,7173361.000000044,0.0012415735411017035,Normal
55,55,0.0071866141580685765,-21150.58553688782,435.39610544966035,0.15382020336185245,-10.066690743777523,6.91147612700785,5.364593902144779,79.98480996961996,7173360.999999999,0.0071866141580685765,Normal
56,56,0.0011681346634246092,-18135.298600580547,523.9556078151157,0.09283837901520273,-10.685686931707053,7.146173778651753,5.602764540314571,80.00682001364005,7173360.999999954,0.0011681346634246092,Normal
57,57,0.007403671561578504,-21695.660190383023,418.1782493935749,0.15626529975167266,-9.721668522673044,6.80842229517946,5.3172587578124615,79.90606981213965,7173360.999999957,0.007403671561578504,Normal
58,58,0.014096473729229113,-24080.8946844501,364.6525469075489,0.1934892079586407,-9.467277209183823,6.721431487043046,5.105054534588123,79.91614483228967,7173360.999999965,0.014096473729229113,Normal
59,59,0.0012507439052674948,-18272.48193799787,516.5653446710824,0.09618659178825728,-10.666003180122317,7.141703725506874,5.586532600863081,80.00015500030999,7173361.000000023,0.0012507439052674948,Normal
60,60,0.001164752050019166,-17950.626073412463,530.9165146035048,0.08951454583203526,-10.659446928086716,7.143573926613903,5.6194859703721445,79.95938991877988,7173360.999999998,0.001164752050019166,Normal
